realization	alpha	beta	mu	mu_low
83	1.9999999956538281	1.9999999956538281	5.999999973922969	-6.0
84	1.3247179556638002	1.3247179556638002	1.6235897783190012	-5.0
85	0.8392867557704449	0.8392867557704449	-0.32142648845911026	-2.0
86	1.5213797098646562	1.5213797098646562	3.649657969052593	-7.0
87	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
88	1.1914878832176328	1.1914878832176328	0.7659515328705311	-4.0
89	1.6180339871595304	1.6180339871595304	2.4721359486381216	-4.0
90	1.1653730450198054	1.1653730450198054	0.33074609003961086	-2.0
91	1.9999999962747097	1.9999999962747097	4.9999999813735485	-5.0
92	1.7523321767803282	1.7523321767803282	6.018657414242625	-8.0
93	1.618033987070833	1.618033987070833	4.3262379094958305	-7.0
94	1.224744870886207	1.224744870886207	1.348469225317242	-6.0
95	1.2469796063378453	1.2469796063378453	1.481877638027072	-6.0
96	1.9999999973922968	1.9999999973922968	4.999999986961484	-5.0
97	1.414213564991951	1.414213564991951	2.071067824959755	-5.0
98	0.7937005283311009	0.7937005283311009	-0.8251978866755962	-4.0
99	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
100	1.414213564619422	1.414213564619422	2.0710678230971102	-5.0
101	0.9999999970197677	0.9999999970197677	0.0	-5.0
102	1.6180339874699712	1.6180339874699712	3.708203924819827	-6.0
103	1.9999999962747097	1.9999999962747097	2.999999988824129	-3.0
104	1.9999999955296517	1.9999999955296517	4.999999977648258	-5.0
105	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
106	1.517489915092786	1.517489915092786	2.0699596603711443	-4.0
107	1.6724878384598663	1.6724878384598663	4.707414869219064	-7.0
108	1.1547005424896875	1.1547005424896875	1.2376043399174996	-8.0
109	1.9999999972060323	1.9999999972060323	6.999999980442226	-7.0
110	1.0000000037252903	1.0000000037252903	0.0	-2.0
111	1.5213797044008972	1.5213797044008972	2.606898522004486	-5.0
112	1.414213561349445	1.414213561349445	3.727922052145006	-9.0
113	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
114	1.414213564246893	1.414213564246893	0.8284271284937859	-2.0
115	1.9999999953433871	1.9999999953433871	3.9999999813735485	-4.0
116	1.4142135630051296	1.4142135630051296	2.4852813780307774	-6.0
117	1.414213564619422	1.414213564619422	2.0710678230971102	-5.0
118	1.7692923536524177	1.7692923536524177	6.154338829219341	-8.0
119	1.0000000009313226	1.0000000009313226	0.0	-4.0
120	1.0000000026077034	1.0000000026077034	0.0	-5.0
121	1.1981807878861825	1.1981807878861825	0.7927231515447302	-4.0
122	1.4142135642465736	1.4142135642465736	1.6568542569862945	-4.0
123	1.0000000009313226	1.0000000009313226	0.0	-4.0
124	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
125	1.7246785865475736	1.7246785865475736	2.8987143461902942	-4.0
126	1.4142135600559413	1.4142135600559413	3.3137084804475307	-8.0
127	0.9999999976716936	0.9999999976716936	0.0	-4.0
128	1.6180339874699712	1.6180339874699712	2.4721359498798847	-4.0
129	0.8164965858062108	0.8164965858062108	-0.5505102425813677	-3.0
130	1.4142135636260114	1.4142135636260114	2.485281381756068	-6.0
131	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
132	1.5097553293619839	1.5097553293619839	3.568287305533887	-7.0
133	1.414213564619422	1.414213564619422	2.0710678230971102	-5.0
134	0.9999999962747097	0.9999999962747097	0.0	-4.0
135	0.9999999976716936	0.9999999976716936	0.0	-4.0
136	1.6528916517272592	1.6528916517272592	1.9586749551817775	-3.0
137	1.414213564619422	1.414213564619422	2.0710678230971102	-5.0
138	1.5213797083124518	1.5213797083124518	2.0855188332498074	-4.0
139	1.4142135630051293	1.4142135630051293	1.242640689015388	-3.0
140	1.414213564991951	1.414213564991951	2.071067824959755	-5.0
141	1.1126593027263878	1.1126593027263878	0.563296513631939	-5.0
142	1.0000000006208818	1.0000000006208818	0.0	-3.0
143	1.1787241790443654	1.1787241790443654	0.8936208952218272	-5.0
144	1.2109696147963405	1.2109696147963405	0.6329088443890214	-3.0
145	1.2055694335140288	1.2055694335140288	0.8222777340561152	-4.0
146	0.9999999976716936	0.9999999976716936	0.0	-4.0
147	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
148	1.9999999953433871	1.9999999953433871	3.9999999813735485	-4.0
149	1.4655712336301805	1.4655712336301805	2.3278561681509027	-5.0
150	1.4966982044279575	1.4966982044279575	0.9933964088559151	-2.0
151	1.0000000020954758	1.0000000020954758	0.0	-8.0
152	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
153	1.4142135614529252	1.4142135614529252	0.8284271229058504	-2.0
154	1.0000000006208818	1.0000000006208818	0.0	-3.0
155	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
156	1.9999999950329461	1.9999999950329461	5.999999970197677	-6.0
157	1.4142135630051293	1.4142135630051293	1.242640689015388	-3.0
158	0.9999999962747097	0.9999999962747097	0.0	-4.0
159	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
160	0.9999999962747097	0.9999999962747097	0.0	-4.0
161	1.4142135608941317	1.4142135608941317	2.0710678044706587	-5.0
162	1.7320508072152734	1.7320508072152734	4.39230484329164	-6.0
163	1.9999999968955915	1.9999999968955915	5.9999999813735485	-6.0
164	1.130395432623724	1.130395432623724	0.782372595742344	-6.0
165	1.0000000029802323	0.9999999970197677	0.0	-5.0
166	1.4142135664820672	1.4142135664820672	2.071067832410336	-5.0
167	1.414213564991951	1.414213564991951	2.071067824959755	-5.0
168	1.9999999962747097	1.9999999962747097	4.9999999813735485	-5.0
169	1.3660254050046206	1.3660254050046206	1.8301270250231028	-5.0
170	1.9999999950329461	1.9999999950329461	5.999999970197677	-6.0
171	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
172	1.414213564619422	1.414213564619422	2.0710678230971102	-5.0
173	1.9999999953433871	1.9999999953433871	3.9999999813735485	-4.0
174	1.7320508051663634	1.7320508051663634	3.6602540258318172	-5.0
175	1.9999999968955915	1.9999999968955915	5.9999999813735485	-6.0
176	1.224744870327413	1.224744870327413	0.44948974065482616	-2.0
177	1.5874010538682342	1.5874010538682342	2.3496042154729366	-4.0
178	1.882987285964191	1.882987285964191	5.297923715785146	-6.0
179	1.0000000029802323	0.9999999970197677	0.0	-5.0
180	1.0000000049670537	0.9999999950329462	0.0	-7.0
181	1.6180339874699712	1.6180339874699712	2.4721359498798847	-4.0
182	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
183	1.0000000009313226	1.0000000009313226	0.0	-2.0
184	1.3660254022106528	1.3660254022106528	1.4641016088426113	-4.0
185	1.414213564991951	1.414213564991951	2.4852813899517057	-6.0
186	1.0000000037252903	1.0000000037252903	0.0	-1.0
187	1.3027756391093135	1.3027756391093135	0.9083269173279405	-3.0
188	1.4142135636260114	1.4142135636260114	1.6568542545040454	-4.0
189	0.8846461796201766	0.8846461796201766	-0.4614152815192938	-4.0
190	1.4142135614529252	1.4142135614529252	2.4852813687175512	-6.0
191	0.9999999962747097	0.9999999962747097	0.0	-5.0
192	1.9999999970729863	1.9999999970729863	6.999999979510903	-7.0
193	1.2247448721900582	1.2247448721900582	1.1237243609502912	-5.0
194	1.45742710493505	1.45742710493505	2.28713552467525	-5.0
195	1.9999999950329461	1.9999999950329461	5.999999970197677	-6.0
196	1.9999999953433871	1.9999999953433871	3.9999999813735485	-4.0
197	1.618033990263939	1.618033990263939	3.0901699513196945	-5.0
198	0.9999999953433871	0.9999999953433871	0.0	-8.0
199	1.4142135636260114	1.4142135636260114	2.485281381756068	-6.0
200	1.9999999962747097	1.9999999962747097	3.999999985098839	-4.0
201	1.9999999955296517	1.9999999955296517	4.999999977648258	-5.0
202	0.7729169971176555	0.7729169971176555	-1.5895810201764116	-7.0
203	1.4142135614529252	1.4142135614529252	2.4852813687175512	-6.0
204	1.1547005370791468	1.1547005370791468	1.0829037595540274	-7.0
205	1.9999999962747097	1.9999999962747097	2.999999988824129	-3.0
206	1.3836728679016232	1.3836728679016232	1.534691471606493	-4.0
207	0.9999999972060323	0.9999999972060323	0.0	-4.0
208	0.8784913336858153	0.8784913336858153	-0.364525998942554	-3.0
209	1.259921052493155	1.259921052493155	1.03968420997262	-4.0
210	1.9999999956538281	1.9999999956538281	5.999999973922969	-6.0
211	1.3499878770671785	1.3499878770671785	1.399951508268714	-4.0
212	1.0000000037252903	1.0000000037252903	0.0	-2.0
213	0.9999999972060323	0.9999999972060323	0.0	-4.0
214	1.2441511185218892	1.2441511185218892	1.220755592609446	-5.0
215	0.9999999976716936	0.9999999976716936	0.0	-4.0
216	1.9999999962747097	1.9999999962747097	4.9999999813735485	-5.0
217	1.4142135626503398	1.4142135626503398	2.8994949385523787	-7.0
218	1.6716998824849725	1.6716998824849725	2.68679952993989	-4.0
219	0.9999999950329462	0.9999999950329462	0.0	-3.0
220	0.9999999962747097	0.9999999962747097	0.0	-2.0
221	1.3247179575264454	1.3247179575264454	0.9741538725793362	-3.0
222	1.4142135600559413	1.4142135600559413	1.6568542402237654	-4.0
223	1.0000000026077034	1.0000000026077034	0.0	-5.0
224	1.9999999962747097	1.9999999962747097	3.999999985098839	-4.0
225	1.414213564991951	1.414213564991951	2.071067824959755	-5.0
226	1.7523321751505136	1.7523321751505136	5.2663252260535955	-7.0
227	1.2207440873607993	1.2207440873607993	0.4414881747215986	-2.0
228	0.707106780881683	0.707106780881683	-1.757359314709902	-6.0
229	1.4311271458864212	1.4311271458864212	2.155635729432106	-5.0
230	0.8836155273020267	0.8836155273020267	-0.2327689453959465	-2.0
231	1.0	1.0	0.0	-2.0
232	1.4419571748003364	1.4419571748003364	2.651743048802018	-6.0
233	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
234	1.3247179597616192	1.3247179597616192	1.623589798808096	-5.0
235	1.4142135630051293	1.4142135630051293	3.313708504041035	-8.0
236	1.9999999962747097	1.9999999962747097	3.999999985098839	-4.0
237	1.2055694283917546	1.2055694283917546	0.6167082851752639	-3.0
238	1.4142135664820672	1.4142135664820672	2.071067832410336	-5.0
239	1.0000000007982766	1.0000000007982766	0.0	-7.0
240	1.3145962109168372	1.3145962109168372	1.8875772655010232	-6.0
241	0.8717569162448247	0.8717569162448247	-0.5129723350207014	-4.0
242	1.9999999973922968	1.9999999973922968	4.999999986961484	-5.0
243	1.3107382177064817	1.3107382177064817	0.9322146531194451	-3.0
244	1.0	1.0	0.0	-3.0
245	0.9619897150744995	0.9619897150744995	-0.11403085477650154	-3.0
246	1.4142135630051293	1.4142135630051293	2.485281378030776	-6.0
247	1.9999999967827038	1.9999999967827038	10.999999964609742	-11.0
248	1.9999999962747097	1.9999999962747097	4.9999999813735485	-5.0
249	1.9999999953433871	1.9999999953433871	3.9999999813735485	-4.0
250	1.4142135630051293	1.4142135630051293	1.242640689015388	-3.0
251	1.4142135600559413	1.4142135600559413	3.3137084804475307	-8.0
252	1.5213797098646562	1.5213797098646562	1.5641391295939686	-3.0
253	1.3145962124690413	1.3145962124690413	1.887577274814248	-6.0
254	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
255	0.9999999970197677	0.9999999970197677	0.0	-5.0
256	1.6180339874699712	1.6180339874699712	3.090169937349856	-5.0
257	1.118033985917767	1.118033985917767	0.3541019577533011	-3.0
258	1.4142135636260114	1.4142135636260114	2.485281381756068	-6.0
259	0.9999999976716936	0.9999999976716936	0.0	-8.0
260	1.414213564246893	1.414213564246893	0.8284271284937859	-2.0
261	1.414213564991951	1.414213564991951	2.071067824959755	-5.0
262	1.9999999950329461	1.9999999950329461	2.9999999850988384	-3.0
263	1.4142135591911416	1.4142135591911416	2.899494914337991	-7.0
264	1.0000000006208818	1.0000000006208818	0.0	-3.0
265	1.9999999955296517	1.9999999955296517	4.999999977648258	-5.0
266	1.5213797066360715	1.5213797066360715	2.6068985331803574	-5.0
267	0.5	0.5	-1.0	-2.0
268	1.0000000006208818	1.0000000006208818	0.0	-3.0
269	1.0000000006208818	1.0000000006208818	0.0	-4.0
270	1.9999999953433871	1.9999999953433871	3.9999999813735485	-4.0
271	1.1131134489551187	1.1131134489551187	0.33934034686535597	-3.0
272	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
273	0.9999999970197677	0.9999999970197677	0.0	-5.0
274	0.7517753336578608	0.7517753336578608	-0.992898665368557	-4.0
275	1.4142135636260114	1.4142135636260114	2.485281381756068	-6.0
276	1.2207440822385252	1.2207440822385252	0.8829763289541006	-4.0
277	1.4756865173578262	1.4756865173578262	2.378432586789131	-5.0
278	1.5874010524712503	1.5874010524712503	2.349604209885001	-4.0
279	1.414213564246893	1.414213564246893	1.2426406927406788	-3.0
280	1.4142135631825243	1.4142135631825243	2.8994949422776704	-7.0
281	1.4142135664820672	1.4142135664820672	2.071067832410336	-5.0
282	1.0000000009313226	1.0000000009313226	0.0	-4.0
283	0.5	0.5	-1.0	-2.0
284	0.9999999962747097	0.9999999962747097	0.0	-3.0
285	1.4142135608941317	1.4142135608941317	2.0710678044706587	-5.0
286	0.7071067839860916	0.7071067839860916	-1.464466080069542	-5.0
287	1.5213797076472213	1.5213797076472213	3.649657953530549	-7.0
288	1.7853708416223526	1.7853708416223526	2.356112524867058	-3.0
289	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
290	1.0000000009313226	1.0000000009313226	0.0	-3.0
291	0.9999999972060323	0.9999999972060323	0.0	-4.0
292	1.1687708953395486	1.1687708953395486	0.6750835813581944	-4.0
293	1.0000000029802323	0.9999999970197677	0.0	-5.0
294	0.999999996806894	0.999999996806894	0.0	-7.0
295	1.0000000009313226	0.9999998779967427	0.0	-6.0
296	0.9999999976716936	0.9999999976716936	0.0	-5.0
297	1.769292351603508	1.769292351603508	3.84646175801754	-5.0
298	1.6589670814571909	1.6589670814571909	2.6358683258287634	-4.0
299	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
300	1.9999999955296517	1.9999999955296517	4.999999977648258	-5.0
301	1.414213564246893	1.414213564246893	0.8284271284937859	-2.0
302	1.4142135614529252	1.4142135614529252	3.3137084916234016	-8.0
303	1.76929235085845	1.76929235085845	2.30787705257535	-3.0
304	0.9999999976716936	0.9999999976716936	0.0	-4.0
305	1.3660254028758834	1.3660254028758834	2.5621778201311836	-7.0
306	1.5213797083124518	1.5213797083124518	2.606898541562259	-5.0
307	1.4142135614529252	1.4142135614529252	1.6568542458117008	-4.0
308	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
309	1.1787241769156283	1.1787241769156283	1.2510692384093978	-7.0
310	0.9999999950329462	0.9999999950329462	0.0	-3.0
311	0.8840709268115461	0.8840709268115461	-0.46371629275381565	-4.0
312	1.7692923534661533	1.7692923534661533	3.8464617673307666	-5.0
313	1.414213564246893	1.414213564246893	0.8284271284937859	-2.0
314	0.7071067833652099	0.7071067833652099	-1.7573592998087404	-6.0
315	1.4142135614529252	1.4142135614529252	1.6568542458117008	-4.0
316	1.4142135630051293	1.4142135630051293	1.6568542520205174	-4.0
317	1.3462719055158756	1.3462719055158756	2.4239033386111295	-7.0
318	1.9999999950329461	1.9999999950329461	5.999999970197677	-6.0
319	1.4655712290356557	1.4655712290356557	1.862284916142623	-4.0
320	1.9999999962747097	1.9999999962747097	1.9999999925494194	-2.0
321	1.7692923496166864	1.7692923496166864	4.615754097700118	-6.0
322	1.4142135614529252	1.4142135614529252	1.2426406843587756	-3.0
323	0.9203082605575521	0.9203082605575521	-0.47815043665468737	-6.0
324	1.9999999962747097	1.9999999962747097	2.999999988824129	-3.0
325	1.37122870888561	1.37122870888561	1.1136861266568303	-3.0
326	1.4142135631825243	1.4142135631825243	3.3137085054601947	-8.0
327	0.7320508090779185	0.7320508090779185	-1.0717967636883259	-4.0
328	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
329	0.7071067833652099	0.7071067833652099	-1.7573592998087404	-6.0
330	0.8246204634197056	0.8246204634197056	-0.7015181463211775	-4.0
331	0.7548776701092719	0.7548776701092719	-1.2256116494536407	-5.0
332	0.8745489188780388	0.8745489188780388	-0.501804324487845	-4.0
333	0.8735804647207259	0.8735804647207259	-0.6320976763963704	-5.0
334	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
335	0.8246204634197056	0.8246204634197056	-0.7015181463211775	-4.0
336	0.9032119242474437	0.9032119242474437	-0.3871523030102253	-4.0
337	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
338	0.8922655303031206	0.8922655303031206	-0.6464068181812763	-6.0
339	0.8392867529764771	0.8392867529764771	-0.3214264940470457	-2.0
340	0.7937005287967622	0.7937005287967622	-0.8251978848129511	-4.0
341	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
342	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
343	0.8998798886314034	0.8998798886314034	-0.30036033410578966	-3.0
344	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
345	0.7937005267788967	0.7937005267788967	-0.6188984196633099	-3.0
346	0.7937005230536064	0.7937005230536064	-1.4440963386247554	-7.0
347	0.9590116093556086	0.9590116093556086	-0.20494195322195707	-5.0
348	0.7071067839860916	0.7071067839860916	-1.464466080069542	-5.0
349	0.9143903080374002	0.9143903080374002	-0.4280484598129991	-5.0
350	0.8855398267507553	0.8855398267507553	-0.5723008662462237	-5.0
351	0.6299605257809162	0.6299605257809162	-0.7400789484381676	-2.0
352	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
353	0.9137926045805217	0.9137926045805217	-0.4310369770973915	-5.0
354	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
355	0.8427535705268383	0.8427535705268383	-0.6289857178926468	-4.0
356	0.6572981062345207	0.6572981062345207	-1.3708075750619173	-4.0
357	0.779638822749257	0.779638822749257	-1.101805886253715	-5.0
358	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
359	0.8846461796201766	0.8846461796201766	-0.4614152815192938	-4.0
360	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
361	0.8164965789765118	0.8164965789765118	-0.9175171051174408	-5.0
362	0.9436236904002726	0.9436236904002726	-0.22550523839890957	-4.0
363	0.7937005287967622	0.7937005287967622	-0.8251978848129511	-4.0
364	0.7548776678740978	0.7548776678740978	-0.49024466425180435	-2.0
365	0.7071067825891078	0.7071067825891078	-1.4644660870544612	-5.0
366	0.657298106700182	0.657298106700182	-1.0281056798994541	-3.0
367	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
368	0.8755503543652594	0.8755503543652594	-0.49779858253896236	-4.0
369	0.7071067825891078	0.7071067825891078	-1.171572869643569	-4.0
370	0.9321503943453233	0.9321503943453233	-0.2713984226187067	-4.0
371	0.8392867548391223	0.8392867548391223	-0.6428529806435108	-4.0
372	0.8408964155241847	0.8408964155241847	-0.6364143379032612	-4.0
373	0.7548776678740978	0.7548776678740978	-0.49024466425180435	-2.0
374	0.9491353660821913	0.9491353660821913	-0.4069170713424697	-8.0
375	0.9394496049111087	0.9394496049111087	-0.3633023705333476	-6.0
376	0.890477732444803	0.890477732444803	-0.328566802665591	-3.0
377	0.7582579658677181	0.7582579658677181	-1.2087101706614094	-5.0
378	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
379	0.6776506999241454	0.6776506999241454	-2.256445100530982	-7.0
380	0.8392867535352708	0.8392867535352708	-0.8035662323236459	-5.0
381	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
382	0.8164965858062108	0.8164965858062108	-0.5505102425813677	-3.0
383	0.7979852625479301	0.7979852625479301	-0.8080589498082795	-4.0
384	0.8580943296353022	0.8580943296353022	-0.42571701109409343	-3.0
385	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
386	0.919182987883687	0.919182987883687	-0.24245103634893894	-3.0
387	0.9179879585281014	0.9179879585281014	-0.3280481658875942	-4.0
388	0.9259504076093436	0.9259504076093436	-0.4442975543439387	-6.0
389	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
390	0.7548776678740978	0.7548776678740978	-1.2256116606295109	-5.0
391	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
392	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
393	0.777825955922405	0.777825955922405	-1.33304426446557	-6.0
394	0.8455952859173219	0.8455952859173219	-0.46321414224803426	-3.0
395	0.8164965813048184	0.8164965813048184	-1.1010205121710896	-6.0
396	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
397	0.910326651763171	0.910326651763171	-0.35869339294731617	-4.0
398	0.7548776616652806	0.7548776616652806	-0.7353670150041582	-3.0
399	0.8024779078550637	0.8024779078550637	-0.7900883685797453	-4.0
400	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
401	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
402	0.707106780881683	0.7071066939582427	-0.878679657354951	-3.0
403	0.8969353651627898	0.8969353651627898	-0.4122585393488407	-4.0
404	0.8483748946338893	0.8483748946338893	-0.7581255268305537	-5.0
405	0.7548776684949796	0.7548776684949796	-0.7353669945150612	-3.0
406	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
407	0.9028159705922008	0.9028159705922008	-0.388736117631197	-4.0
408	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
409	0.8786363690160215	0.8786363690160215	-0.48545452393591404	-4.0
410	0.861699840053916	0.861699840053916	-0.41490047983825207	-3.0
411	0.8846461779127519	0.8846461779127519	-0.6921229325234886	-6.0
412	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
413	0.7548776682466268	0.7548776682466268	-1.2256116587668657	-5.0
414	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
415	0.8832035070906084	0.8832035070906084	-0.35038947872817494	-3.0
416	0.7937005287967622	0.7937005287967622	-0.8251978848129511	-4.0
417	0.7071067854762079	0.7071067854762079	-1.4644660726189607	-5.0
418	0.7071067839860916	0.7071067839860916	-1.464466080069542	-5.0
419	0.6572981029748917	0.6572981029748917	-1.028105691075325	-3.0
420	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
421	0.6572981076315045	0.6572981076315045	-1.3708075694739819	-4.0
422	0.7071067793294787	0.7071067793294787	-1.171572882682085	-4.0
423	0.7320508093883593	0.7320508093883593	-0.8038475718349221	-3.0
424	0.8580943318083882	0.8580943318083882	-0.5676226727664471	-4.0
425	0.7071067839860916	0.7071067839860916	-0.8786796480417252	-3.0
