realization	alpha
218	0.9999999950329462
219	0.49999999503294623
220	1.0
221	0.7071067839860916
222	0.7937005230536064
223	1.0
224	0.9999999950329462
225	0.9999999962747097
226	0.9999999950329462
227	0.9999999962747097
228	0.9999999950329462
229	0.9999999950329462
230	0.7071067802608013
231	0.9999999950329462
232	0.7937005273997784
233	0.9999999955296517
234	0.7071067839860916
235	0.9999999950329462
236	0.9999999950329462
237	0.9999999950329462
238	0.7071067839860916
239	0.9999999950329462
240	0.9999999950329462
241	0.9999999950329462
242	0.9999999972060323
243	0.9999999955296517
244	0.7071067839860916
245	0.7548776683397591
246	0.7071067802608013
247	0.9999999950329462
248	0.9999999972060323
249	0.9999999950329463
250	0.9999999950329462
251	0.9999999950329462
252	0.9999999950329462
253	0.7071067839860916
254	0.9999999970197677
255	0.5
256	0.9999999950329462
257	0.5
258	0.9999999950329462
259	0.7548776656389236
260	0.671043607592583
261	0.9999999950329462
262	0.9999999950329462
263	0.9999999972060323
264	0.9999999950329462
265	0.9999999950329462
266	0.9999999950329462
267	0.7548776656389236
268	0.7071067839860916
269	0.9999999950329462
270	0.9999999950329462
271	0.9999999972060323
272	0.6180339865386486
273	0.7071067802608013
274	0.7937005211909611
275	0.9999999950329462
276	0.9999999962747097
277	0.9999999962747097
278	0.9999999950329462
279	0.9999999972060323
280	0.7937005211909611
281	0.5773502677679063
282	0.9999999972060323
283	0.7071067802608013
284	0.6180339874699712
285	0.9999999950329462
286	0.9999999970197677
287	0.8191725118085742
288	0.7071067839860916
289	0.9999999950329462
290	0.9999999972060323
291	0.9999999950329462
292	0.9999999972060323
293	0.9999999950329462
294	0.5
295	0.7071067839860916
296	0.49999999503294623
297	0.7071067802608013
298	0.9999999962747097
299	0.9999999950329462
300	0.7548776656389236
301	0.9999999950329462
302	0.7937005230536064
303	0.7548776650801301
304	0.9999999950329462
305	0.7071067793294787
306	0.9999999970197677
307	0.7071067839860916
308	0.9999999950329462
309	0.9999999950329462
310	0.9999999950329462
311	0.9999999950329462
312	0.9999999950329462
313	0.9999999972060323
314	0.9999999950329462
315	0.9999999950329462
316	0.9999999950329462
317	0.9999999950329462
318	0.9999999962747097
319	0.9999999962747097
320	0.9999999950329462
321	0.6012318283319475
322	0.7071067802608013
323	0.7071067839860916
324	0.9999999950329462
325	0.6180339874699712
326	0.9999999950329462
327	0.5
328	0.9999999962747097
329	0.9999999962747097
330	0.9999999972060323
331	0.9999999972060323
332	0.9999999950329462
333	0.7071067839860916
334	0.9999999968955915
335	0.7071067793294787
336	0.9999999950329462
337	0.9999999950329462
338	0.7937005273997784
339	0.7071067802608013
340	0.9999999972060323
341	0.8191725141368806
342	0.9999999950329462
343	0.9999999950329462
344	0.9999999950329462
345	0.7071067829217228
346	0.9999999962747097
347	0.9999999950329462
348	0.9999999953433871
349	0.5936071902513504
350	0.9999999970197677
351	0.9999999962747097
352	0.7548776650801301
353	0.9999999950329462
354	0.7071067839860916
355	0.7071067829217228
356	0.5651977151632308
357	0.9999999950329462
358	0.9999999950329462
359	0.6180339902639389
360	0.6673823250457644
361	0.9999999955296517
362	0.808730599284172
363	0.4999999962747097
364	0.7548776678740978
365	0.7071067839860916
366	0.7071067839860916
367	0.9999999950329462
368	0.8191725105047227
369	0.9999999970197677
370	0.7071067802608013
371	0.9999999970197677
372	0.7071067839860916
373	0.7578582813342412
374	0.9999999950329462
375	0.9999999962747097
376	0.8408964155241847
377	0.9999999955296517
378	0.9999999950329462
379	0.9999999950329462
380	0.9999999970197677
381	0.9999999950329462
382	0.9999999950329462
383	0.9999999950329462
384	0.7071067839860916
385	0.7071067839860916
386	0.6276981780926386
387	0.9999999950329462
388	0.7071067839860916
389	0.9999999955296517
390	0.7071067839860916
391	0.9999999950329462
392	0.9999999950329462
393	0.7937005211909611
394	0.9999999950329462
395	0.7548776650801301
396	0.6180339902639389
397	0.9999999950329462
398	0.9999999962747097
399	0.9999999950329462
400	0.7071067839860916
401	0.9999999950329462
402	0.9999999972060323
403	0.7071067839860916
404	0.9999999950329462
405	0.9999999950329462
406	0.7071067839860916
407	0.9999999950329462
408	0.9999999957425254
409	0.7071067802608013
410	0.7548776656389236
411	0.7071067839860916
412	0.7937005283311009
413	0.9999999970197677
414	1.0
415	0.9999999950329462
416	0.9999999972060323
417	0.999999996806894
418	0.9999999950329462
419	0.7071067839860916
420	0.9999999970197677
421	0.7071067793294787
422	0.9999999955296517
423	0.9999999955296517
424	0.7071067793294787
425	0.9999999950329462
426	0.7071067839860916
427	0.9999999950329462
428	0.9999999950329462
429	0.9999999972060323
430	0.9999999955296517
431	0.7071067793294787
432	0.7937005273997784
433	0.9999999950329462
434	0.9999999970197677
435	0.7548776701092719
436	0.9999999955296517
437	0.7548776678740978
438	0.6435942547395825
439	0.9999999950329462
440	0.9999999972060323
441	0.9999999950329462
442	0.9999999955296517
443	0.9999999955296517
444	0.7071067839860916
445	0.9999999950329462
446	0.9999999950329462
447	0.5773502718657255
448	0.5773502737283707
449	0.7071067839860916
450	0.9999999950329462
451	0.7891611522063613
452	0.9999999950329462
453	0.9999999950329462
454	0.9999999950329462
455	0.7071067802608013
456	0.999999996740371
457	0.7548776678740978
458	0.7071067839860916
459	0.9999999962747097
460	0.9999999950329462
461	0.9999999972060323
462	0.9999999973390783
463	0.7071067816577852
464	0.9999999950329462
465	0.9999999972060323
466	0.9999999970197677
467	0.9999999950329462
468	0.9999999970197677
469	0.5
470	0.7548776678740978
471	0.9999999972060323
472	0.7548776647696893
473	0.9999999950329462
474	0.7548776616652807
475	0.9999999950329462
476	0.7071067802608013
477	0.7071067839860916
478	0.9999999950329462
479	0.9999999950329462
480	0.7071067839860916
481	0.9999999962747097
482	0.9999999950329462
483	0.9999999950329462
484	0.9999999955296517
485	0.9999999968955915
486	0.9999999950329462
487	0.9999999950329462
488	0.7071067839860916
489	0.9999999950329462
490	1.0
491	0.9999999962747097
492	0.49999999503294623
493	0.7071067802608013
494	0.9999999972060323
