realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
41127	0.7071	0.7071	-0.8787	-3.0000	-0.2555	-0.2929	-0.0852	False
41128	1.4142	1.4142	1.6569	-4.0000	0.0000	0.4142	0.0000	False
41129	2.0000	2.0000	3.0000	-3.0000	0.8936	1.0000	0.2979	False
41130	1.4142	1.4142	1.2426	-3.0000	0.4215	0.4142	0.1405	False
41131	1.4142	1.4142	2.0711	-5.0000	0.1358	0.4142	0.0272	False
41132	2.0000	2.0000	6.0000	-6.0000	0.3760	1.0000	0.0627	False
41133	1.0000	1.0000	0.0000	-2.0000	-0.0000	0.0000	-0.0000	False
41134	1.4142	1.4142	2.8995	-7.0000	0.0000	0.4142	0.0000	False
41135	1.0000	1.0000	0.0000	-4.0000	-0.0677	-0.0000	-0.0169	False
41136	1.3463	1.3463	2.0776	-6.0000	-0.1026	0.3463	-0.0171	False
41137	2.0000	2.0000	6.0000	-6.0000	0.3221	1.0000	0.0537	False
41138	1.2537	1.2537	1.0149	-4.0000	0.0147	0.2537	0.0037	False
41139	1.0000	1.0000	0.0000	-2.0000	0.0000	-0.0000	0.0000	False
41140	1.5214	1.5214	2.6069	-5.0000	0.1204	0.5214	0.0241	False
41141	2.0000	2.0000	4.0000	-4.0000	0.1282	1.0000	0.0321	False
41142	2.0000	2.0000	6.0000	-6.0000	0.4014	1.0000	0.0669	False
41143	1.3712	1.3712	2.5986	-7.0000	0.0950	0.3712	0.0136	False
41144	2.0000	2.0000	2.0000	-2.0000	0.0013	1.0000	0.0006	False
41145	1.4142	1.4142	2.4853	-6.0000	0.2449	0.4142	0.0408	False
41146	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
41147	0.7185	0.7185	-0.8446	-3.0000	0.0000	-0.2815	0.0000	False
41148	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
41149	2.0000	2.0000	6.0000	-6.0000	0.4444	1.0000	0.0741	False
41150	1.4142	1.4142	1.2426	-3.0000	0.2023	0.4142	0.0674	False
41151	1.4142	1.4142	3.7279	-9.0000	0.0465	0.4142	0.0052	False
41152	2.0000	2.0000	4.0000	-4.0000	0.2621	1.0000	0.0655	False
41153	2.0000	2.0000	5.0000	-5.0000	0.8772	1.0000	0.1754	False
41154	1.0000	1.0000	0.0000	-4.0000	-0.0000	0.0000	-0.0000	False
41155	0.7071	0.7071	-0.5858	-2.0000	-0.1895	-0.2929	-0.0947	False
41156	2.0000	2.0000	5.0000	-5.0000	0.0792	1.0000	0.0158	False
41157	2.0000	2.0000	5.0000	-5.0000	0.4957	1.0000	0.0991	False
41158	0.7098	0.7098	-1.7411	-6.0000	-0.0000	-0.2902	-0.0000	False
41159	1.4142	1.4142	2.0711	-5.0000	0.0000	0.4142	0.0000	False
41160	1.7693	1.7693	2.3079	-3.0000	0.0841	0.7693	0.0280	False
41161	1.1658	1.1658	0.8288	-5.0000	0.0056	0.1658	0.0011	False
41162	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
41163	0.7321	0.7321	-0.5359	-2.0000	-0.0000	-0.2679	-0.0000	False
41164	2.0000	2.0000	4.0000	-4.0000	0.8175	1.0000	0.2044	False
41165	1.6180	1.6180	2.4721	-4.0000	0.2126	0.6180	0.0531	False
41166	1.0000	1.0000	0.0000	-8.0000	0.0000	-0.0000	0.0000	False
41167	2.0000	2.0000	2.0000	-2.0000	-0.0000	1.0000	-0.0000	False
41168	1.0000	1.0000	0.0000	-3.0000	-0.0760	-0.0000	-0.0253	False
41169	2.0000	2.0000	6.0000	-6.0000	0.6173	1.0000	0.1029	False
41170	1.4142	1.4142	1.2426	-3.0000	0.2433	0.4142	0.0811	False
41171	0.7071	0.7071	-0.5858	-2.0000	-0.2596	-0.2929	-0.1298	False
41172	1.1239	1.1239	0.4955	-4.0000	-0.0000	0.1239	-0.0000	False
41173	1.6180	1.6180	3.7082	-6.0000	0.1826	0.6180	0.0304	False
41174	2.0000	2.0000	5.0000	-5.0000	0.2422	1.0000	0.0484	False
41175	1.4142	1.4142	2.0711	-5.0000	-0.0092	0.4142	-0.0018	False
41176	2.0000	2.0000	4.0000	-4.0000	0.5091	1.0000	0.1273	False
41177	1.4142	1.4142	2.0711	-5.0000	0.1410	0.4142	0.0282	False
41178	1.4142	1.4142	2.0711	-5.0000	0.1908	0.4142	0.0382	False
41179	1.4142	1.4142	0.8284	-2.0000	0.1049	0.4142	0.0524	False
41180	2.0000	2.0000	6.0000	-6.0000	0.6956	1.0000	0.1159	False
41181	1.4142	1.4142	2.0711	-5.0000	-0.1946	0.4142	-0.0389	False
41182	1.7818	1.7818	6.2542	-8.0000	0.2045	0.7818	0.0256	False
41183	1.4142	1.4142	1.6569	-4.0000	0.0364	0.4142	0.0091	False
41184	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
41185	2.0000	2.0000	4.0000	-4.0000	0.5069	1.0000	0.1267	False
41186	0.7071	0.7071	-1.1716	-4.0000	-0.2814	-0.2929	-0.0703	False
41187	2.0000	2.0000	6.0000	-6.0000	0.2695	1.0000	0.0449	False
41188	1.2896	1.2896	0.8689	-3.0000	0.0566	0.2896	0.0189	False
41189	1.4142	1.4142	0.4142	-1.0000	0.3853	0.4142	0.3853	False
41190	1.4142	1.4142	1.2426	-3.0000	0.3341	0.4142	0.1114	False
41191	1.4142	1.4142	2.0711	-5.0000	-0.0436	0.4142	-0.0087	False
41192	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
41193	2.0000	2.0000	5.0000	-5.0000	0.1790	1.0000	0.0358	False
41194	2.0000	2.0000	5.0000	-5.0000	0.6114	1.0000	0.1223	False
41195	1.3463	1.3463	2.4239	-7.0000	-0.0727	0.3463	-0.0104	False
41196	1.4142	1.4142	2.0711	-5.0000	0.0312	0.4142	0.0062	False
41197	2.0000	2.0000	6.0000	-6.0000	0.3227	1.0000	0.0538	False
41198	1.7106	1.7106	3.5532	-5.0000	0.1155	0.7106	0.0231	False
41199	1.5214	1.5214	3.1283	-6.0000	0.2192	0.5214	0.0365	False
41200	1.1915	1.1915	0.5745	-3.0000	-0.0148	0.1915	-0.0049	False
41201	1.0000	1.0000	0.0000	-2.0000	-0.0000	0.0000	-0.0000	False
41202	1.4142	1.4142	0.4142	-1.0000	0.3185	0.4142	0.3185	False
41203	0.6180	0.6180	-0.7639	-2.0000	-0.0000	-0.3820	-0.0000	False
41204	1.5437	1.5437	2.1748	-4.0000	0.0404	0.5437	0.0101	False
41205	1.3127	1.3127	1.5633	-5.0000	0.0518	0.3127	0.0104	False
41206	2.0000	2.0000	2.0000	-2.0000	0.8377	1.0000	0.4189	False
41207	2.0000	2.0000	6.0000	-6.0000	0.1744	1.0000	0.0291	False
41208	2.0000	2.0000	5.0000	-5.0000	0.8286	1.0000	0.1657	False
41209	1.3593	1.3593	1.7965	-5.0000	0.1999	0.3593	0.0400	False
41210	2.0000	2.0000	4.0000	-4.0000	0.7648	1.0000	0.1912	False
41211	2.0000	2.0000	6.0000	-6.0000	0.1625	1.0000	0.0271	False
41212	1.6180	1.6180	3.0902	-5.0000	0.1778	0.6180	0.0356	False
41213	1.4142	1.4142	2.0711	-5.0000	0.1504	0.4142	0.0301	False
41214	1.0000	1.0000	0.0000	-2.0000	0.0000	-0.0000	0.0000	False
41215	1.0000	1.0000	0.0000	-5.0000	-0.0807	-0.0000	-0.0161	False
41216	2.0000	2.0000	5.0000	-5.0000	0.5145	1.0000	0.1029	False
41217	2.0000	2.0000	5.0000	-5.0000	0.5722	1.0000	0.1144	False
41218	1.4142	1.4142	2.0711	-5.0000	0.0104	0.4142	0.0021	False
41219	1.2720	1.2720	0.8161	-3.0000	0.1797	0.2720	0.0599	False
41220	1.0000	1.0000	0.0000	-1.0000	0.0000	0.0000	0.0000	False
41221	1.1654	1.1654	0.6615	-4.0000	0.0313	0.1654	0.0078	False
41222	1.4142	1.4142	2.0711	-5.0000	0.0723	0.4142	0.0145	False
41223	1.2599	1.2599	0.5198	-2.0000	0.1212	0.2599	0.0606	False
41224	1.8393	1.8393	4.1964	-5.0000	0.2024	0.8393	0.0405	False
41225	1.0000	1.0000	0.0000	-3.0000	-0.1513	-0.0000	-0.0504	False
41226	1.4142	1.4142	2.4853	-6.0000	-0.0098	0.4142	-0.0016	False
41227	2.0000	2.0000	6.0000	-6.0000	-0.0648	1.0000	-0.0108	False
41228	0.8866	0.8866	-0.4538	-4.0000	-0.0000	-0.1134	-0.0000	False
41229	1.0987	1.0987	0.6908	-7.0000	-0.0039	0.0987	-0.0006	False
41230	0.7530	0.7530	-1.4819	-6.0000	-0.0000	-0.2470	-0.0000	False
41231	1.0844	1.0844	0.2533	-3.0000	0.0000	0.0844	0.0000	False
41232	1.7224	1.7224	2.8895	-4.0000	0.1604	0.7224	0.0401	False
41233	1.0000	1.0000	0.0000	-3.0000	-0.0806	0.0000	-0.0269	False
41234	2.0000	2.0000	4.0000	-4.0000	0.9344	1.0000	0.2336	False
41235	1.3247	1.3247	1.9483	-6.0000	0.0884	0.3247	0.0147	False
41236	2.0000	2.0000	4.0000	-4.0000	0.2347	1.0000	0.0587	False
41237	1.3146	1.3146	1.2584	-4.0000	0.1136	0.3146	0.0284	False
41238	1.7321	1.7321	2.9282	-4.0000	0.0891	0.7321	0.0223	False
41239	1.4142	1.4142	2.0711	-5.0000	0.0706	0.4142	0.0141	False
41240	1.0000	1.0000	0.0000	-5.0000	0.0000	-0.0000	0.0000	False
41241	1.0000	1.0000	0.0000	-6.0000	0.0000	0.0000	0.0000	False
41242	1.2237	1.2237	1.1186	-5.0000	-0.0000	0.2237	-0.0000	False
41243	1.3247	1.3247	1.2989	-4.0000	0.0200	0.3247	0.0050	False
41244	0.7071	0.7071	-1.7574	-6.0000	0.0000	-0.2929	0.0000	False
41245	1.3247	1.3247	1.9483	-6.0000	0.0033	0.3247	0.0006	False
41246	2.0000	2.0000	3.0000	-3.0000	0.1810	1.0000	0.0603	False
41247	2.0000	2.0000	6.0000	-6.0000	0.2962	1.0000	0.0494	False
41248	1.1915	1.1915	1.3404	-7.0000	-0.0451	0.1915	-0.0064	False
41249	2.0000	2.0000	5.0000	-5.0000	0.3123	1.0000	0.0625	False
41250	1.0000	1.0000	0.0000	-4.0000	-0.0827	-0.0000	-0.0207	False
41251	1.0000	1.0000	0.0000	-4.0000	-0.3086	-0.0000	-0.0772	False
41252	1.7693	1.7693	3.8465	-5.0000	0.4868	0.7693	0.0974	False
41253	2.0000	2.0000	6.0000	-6.0000	0.2842	1.0000	0.0474	False
41254	2.0000	2.0000	6.0000	-6.0000	0.8868	1.0000	0.1478	False
41255	1.4142	1.4142	3.3137	-8.0000	-0.0000	0.4142	-0.0000	False
41256	1.1459	1.1459	0.4377	-3.0000	0.0581	0.1459	0.0194	False
41257	1.4142	1.4142	2.4853	-6.0000	0.1969	0.4142	0.0328	False
41258	2.0000	2.0000	6.0000	-6.0000	0.5506	1.0000	0.0918	False
41259	0.8295	0.8295	-0.5115	-3.0000	0.0000	-0.1705	0.0000	False
41260	1.2896	1.0000	1.4481	-5.0000	0.0309	0.2896	0.0062	False
41261	1.2599	1.2599	1.2996	-5.0000	-0.0000	0.2599	-0.0000	False
41262	1.4142	1.4142	1.6569	-4.0000	0.1811	0.4142	0.0453	False
41263	1.0000	1.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	False
41264	1.5098	1.5098	3.5683	-7.0000	0.1777	0.5098	0.0254	False
41265	1.0000	1.0000	0.0000	-3.0000	-0.0000	0.0000	-0.0000	False
41266	0.7071	0.7071	-1.1716	-4.0000	0.0000	-0.2929	0.0000	False
41267	2.0000	2.0000	4.0000	-4.0000	0.6344	1.0000	0.1586	False
41268	1.4142	1.4142	1.2426	-3.0000	0.1336	0.4142	0.0445	False
41269	2.0000	2.0000	5.0000	-5.0000	0.8418	1.0000	0.1684	False
41270	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
41271	1.3247	1.3247	0.9742	-3.0000	0.1050	0.3247	0.0350	False
41272	1.2599	1.2599	1.8194	-7.0000	0.0060	0.2599	0.0009	False
41273	2.0000	2.0000	7.0000	-7.0000	0.3844	1.0000	0.0549	False
41274	1.4142	1.4142	2.0711	-5.0000	0.2674	0.4142	0.0535	False
41275	1.4142	1.4142	1.6569	-4.0000	0.1478	0.4142	0.0370	False
41276	1.4142	1.4142	1.2426	-3.0000	-0.0795	0.4142	-0.0265	False
41277	0.8068	0.8068	-0.5795	-3.0000	-0.0000	-0.1932	-0.0000	False
41278	1.0000	1.0000	0.0000	-8.0000	-0.2165	0.0000	-0.0271	False
41279	1.3247	1.3247	1.9483	-6.0000	0.1063	0.3247	0.0177	False
41280	0.9441	0.9441	-0.2237	-4.0000	-0.0000	-0.0559	-0.0000	False
41281	1.0000	1.0000	0.0000	-4.0000	-0.2500	0.0000	-0.0625	False
41282	2.0000	2.0000	6.0000	-6.0000	0.6765	1.0000	0.1127	False
41283	2.0000	2.0000	3.0000	-3.0000	0.2193	1.0000	0.0731	False
41284	1.5214	1.5214	1.5641	-3.0000	0.0411	0.5214	0.0137	False
41285	1.0000	1.0000	0.0000	-6.0000	-0.0000	0.0000	-0.0000	False
41286	1.4142	1.4142	1.2426	-3.0000	0.3033	0.4142	0.1011	False
41287	0.7321	0.7321	-1.0718	-4.0000	-0.0000	-0.2679	-0.0000	False
41288	1.4142	1.4142	3.3137	-8.0000	0.0000	0.4142	0.0000	False
41289	1.8174	1.8174	4.0868	-5.0000	0.4430	0.8174	0.0886	False
41290	1.1069	1.1069	0.5346	-5.0000	-0.0461	0.1069	-0.0092	False
41291	1.4142	1.4142	2.0711	-5.0000	-0.3307	0.4142	-0.0661	False
41292	1.5111	1.5111	2.0444	-4.0000	0.3609	0.5111	0.0902	False
41293	1.8229	1.8229	4.1144	-5.0000	0.0908	0.8229	0.0182	False
41294	1.4142	1.4142	1.2426	-3.0000	-0.0249	0.4142	-0.0083	False
41295	1.4142	1.4142	1.6569	-4.0000	0.1332	0.4142	0.0333	False
41296	1.0000	1.0000	0.0000	-4.0000	-0.0042	-0.0000	-0.0010	False
41297	1.2056	1.2056	1.8501	-9.0000	-0.0000	0.2056	-0.0000	False
41298	1.0000	1.0000	0.0000	-5.0000	-0.2652	0.0000	-0.0530	False
41299	1.3660	1.3660	1.8301	-5.0000	0.0375	0.3660	0.0075	False
41300	1.0000	1.0000	0.0000	-6.0000	-0.0244	-0.0000	-0.0041	False
41301	1.3247	1.3247	1.2989	-4.0000	0.0244	0.3247	0.0061	False
41302	2.0000	2.0000	4.0000	-4.0000	0.6400	1.0000	0.1600	False
41303	1.4142	1.4142	2.0711	-5.0000	0.3239	0.4142	0.0648	False
41304	1.0000	1.0000	0.0000	-4.0000	-0.2520	-0.0000	-0.0630	False
41305	2.0000	2.0000	5.0000	-5.0000	-0.3579	1.0000	-0.0716	False
41306	0.5000	0.5000	-1.0000	-2.0000	-0.2859	-0.5000	-0.1429	False
41307	1.4142	1.4142	1.6569	-4.0000	0.0000	0.4142	0.0000	False
41308	1.4142	1.4142	1.6569	-4.0000	0.1952	0.4142	0.0488	False
41309	1.0814	1.0814	0.4071	-5.0000	0.0000	0.0814	0.0000	False
41310	1.0000	1.0000	0.0000	-5.0000	-0.2233	-0.0000	-0.0447	False
41311	1.5659	1.5659	2.8296	-5.0000	-0.0394	0.5659	-0.0079	False
41312	1.4142	1.4142	2.4853	-6.0000	0.3568	0.4142	0.0595	False
41313	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
41314	1.5811	1.5811	2.9057	-5.0000	0.0307	0.5811	0.0061	False
41315	1.0000	1.0000	0.0000	-7.0000	-0.0000	-0.0000	-0.0000	False
41316	1.4142	1.4142	2.0711	-5.0000	0.1423	0.4142	0.0285	False
41317	0.7071	0.7071	-0.8787	-3.0000	-0.0000	-0.2929	-0.0000	False
41318	1.2599	1.2599	0.7798	-3.0000	0.0000	0.2599	0.0000	False
41319	2.0000	2.0000	5.0000	-5.0000	0.3819	1.0000	0.0764	False
41320	1.4656	1.4656	2.3279	-5.0000	0.0000	0.4656	0.0000	False
41321	1.4142	1.4142	1.6569	-4.0000	0.2387	0.4142	0.0597	False
41322	1.0836	1.0836	0.5019	-6.0000	-0.0000	0.0836	-0.0000	False
41323	1.4142	1.4142	1.6569	-4.0000	-0.0016	0.4142	-0.0004	False
41324	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
41325	1.2153	1.2153	0.8610	-4.0000	0.0000	0.2153	0.0000	False
41326	2.0000	2.0000	3.0000	-3.0000	0.1250	1.0000	0.0417	False
41327	1.0000	1.0000	0.0000	-5.0000	-0.1688	-0.0000	-0.0338	False
41328	1.4487	1.4487	2.2434	-5.0000	0.2418	0.4487	0.0484	False
41329	2.0000	2.0000	4.0000	-4.0000	0.7578	1.0000	0.1894	False
41330	0.7071	0.7071	-1.1716	-4.0000	-0.0000	-0.2929	-0.0000	False
41331	2.0000	2.0000	6.0000	-6.0000	0.0611	1.0000	0.0102	False
41332	1.0000	1.0000	0.0000	-3.0000	0.0000	-0.0000	0.0000	False
41333	1.0000	1.0000	0.0000	-5.0000	-0.1485	0.0000	-0.0297	False
41334	1.2056	1.2056	0.6167	-3.0000	0.0000	0.2056	0.0000	False
41335	2.0000	2.0000	5.0000	-5.0000	0.2463	1.0000	0.0493	False
41336	1.4142	1.4142	2.8995	-7.0000	0.1054	0.4142	0.0151	False
41337	1.6180	1.6180	2.4721	-4.0000	0.2218	0.6180	0.0555	False
41338	0.9251	0.9251	-0.2248	-3.0000	-0.0460	-0.0749	-0.0153	False
41339	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
41340	1.4142	1.4142	2.0711	-5.0000	-0.1662	0.4142	-0.0332	False
41341	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
41342	1.3247	1.3247	1.2989	-4.0000	-0.0000	0.3247	-0.0000	False
41343	1.4142	1.4142	2.4853	-6.0000	0.0621	0.4142	0.0103	False
41344	1.1547	1.1547	1.0829	-7.0000	-0.0036	0.1547	-0.0005	False
41345	1.4142	1.4142	1.6569	-4.0000	0.1095	0.4142	0.0274	False
41346	1.4142	1.4142	2.8995	-7.0000	0.1316	0.4142	0.0188	False
41347	1.6180	1.6180	3.0902	-5.0000	0.4291	0.6180	0.0858	False
41348	0.7071	0.7071	-0.5858	-2.0000	-0.0000	-0.2929	-0.0000	False
41349	2.0000	2.0000	3.0000	-3.0000	0.5795	1.0000	0.1932	False
41350	0.8417	0.8417	-0.7915	-5.0000	-0.0000	-0.1583	-0.0000	False
41351	1.4930	1.4930	2.4649	-5.0000	0.0557	0.4930	0.0111	False
41352	1.5214	1.5214	2.0855	-4.0000	0.2853	0.5214	0.0713	False
41353	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
41354	1.2442	1.2442	1.7091	-7.0000	0.0171	0.2442	0.0024	False
41355	1.4142	1.4142	2.4853	-6.0000	0.0377	0.4142	0.0063	False
41356	2.0000	2.0000	3.0000	-3.0000	0.1826	1.0000	0.0609	False
41357	1.7693	1.7693	3.0772	-4.0000	0.2108	0.7693	0.0527	False
41358	1.0000	1.0000	0.0000	-4.0000	-0.0349	-0.0000	-0.0087	False
41359	1.3660	1.3660	1.8301	-5.0000	0.0362	0.3660	0.0072	False
41360	1.0000	1.0000	0.0000	-5.0000	-0.0045	-0.0000	-0.0009	False
41361	1.4142	1.4142	1.6569	-4.0000	0.0000	0.4142	0.0000	False
41362	1.4142	1.4142	2.4853	-6.0000	-0.0251	0.4142	-0.0042	False
41363	1.4142	1.4142	2.0711	-5.0000	0.3049	0.4142	0.0610	False
41364	2.0000	2.0000	6.0000	-6.0000	0.4734	1.0000	0.0789	False
41365	1.6429	1.6429	3.2147	-5.0000	0.2142	0.6429	0.0428	False
41366	1.3247	1.3247	1.9483	-6.0000	-0.0716	0.3247	-0.0119	False
41367	1.0000	1.0000	0.0000	-6.0000	0.0000	0.0000	0.0000	False
41368	1.1915	1.1915	0.5745	-3.0000	0.0371	0.1915	0.0124	False
41369	1.4142	1.4142	1.6569	-4.0000	-0.1094	0.4142	-0.0273	False
41370	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
41371	1.4142	1.4142	0.8284	-2.0000	0.3240	0.4142	0.1620	False
41372	1.4142	1.4142	2.4853	-6.0000	0.0000	0.4142	0.0000	False
41373	0.7071	0.7071	-1.1716	-4.0000	-0.4207	-0.2929	-0.1052	False
41374	1.1072	1.1072	0.4286	-4.0000	-0.1258	0.1072	-0.0314	False
41375	1.0000	1.0000	0.0000	-9.0000	-0.0000	-0.0000	-0.0000	False
41376	2.0000	2.0000	6.0000	-6.0000	0.6102	1.0000	0.1017	False
41377	1.0000	1.0000	0.0000	-4.0000	-0.0000	0.0000	-0.0000	False
41378	1.4142	1.4142	2.0711	-5.0000	-0.0000	0.4142	-0.0000	False
41379	2.0000	2.0000	6.0000	-6.0000	-0.0094	1.0000	-0.0016	False
41380	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
41381	1.1141	1.1141	0.3424	-3.0000	0.0006	0.1141	0.0002	False
41382	1.4142	1.4142	3.3137	-8.0000	0.1492	0.4142	0.0187	False
41383	0.7071	0.7071	-1.4645	-5.0000	-0.0000	-0.2929	-0.0000	False
41384	1.4142	1.4142	1.2426	-3.0000	0.0383	0.4142	0.0128	False
41385	2.0000	2.0000	5.0000	-5.0000	0.5397	1.0000	0.1079	False
41386	1.0000	1.0000	0.0000	-5.0000	-0.2895	-0.0000	-0.0579	False
41387	0.8581	0.8581	-1.1352	-8.0000	-0.0000	-0.1419	-0.0000	False
41388	1.4142	1.4142	2.4853	-6.0000	0.0855	0.4142	0.0142	False
41389	1.0000	1.0000	0.0000	-4.0000	-0.1219	-0.0000	-0.0305	False
41390	1.3146	1.3146	1.5730	-5.0000	0.0190	0.3146	0.0038	False
41391	1.0000	1.0000	0.0000	-2.0000	-0.0422	0.0000	-0.0211	False
41392	1.4142	1.4142	2.4853	-6.0000	0.1001	0.4142	0.0167	False
41393	1.6180	1.6180	4.3262	-7.0000	0.1733	0.6180	0.0248	False
41394	1.4142	1.4142	2.4853	-6.0000	0.1533	0.4142	0.0255	False
41395	1.2247	1.2247	1.3485	-6.0000	-0.0000	0.2247	-0.0000	False
41396	1.4142	1.4142	1.2426	-3.0000	0.0540	0.4142	0.0180	False
41397	1.2247	1.2247	1.3485	-6.0000	-0.2185	0.2247	-0.0364	False
41398	1.5020	1.5020	1.5060	-3.0000	0.3930	0.5020	0.1310	False
41399	2.0000	2.0000	3.0000	-3.0000	0.2204	1.0000	0.0735	False
41400	1.7693	1.7693	3.8465	-5.0000	-0.0191	0.7693	-0.0038	False
41401	1.0000	1.0000	0.0000	-4.0000	-0.1159	-0.0000	-0.0290	False
41402	1.4142	1.4142	1.6569	-4.0000	0.0406	0.4142	0.0101	False
41403	1.0000	1.0000	0.0000	-5.0000	-0.2554	0.0000	-0.0511	False
41404	2.0000	2.0000	6.0000	-6.0000	0.6956	1.0000	0.1159	False
41405	1.4142	1.4142	1.2426	-3.0000	0.0397	0.4142	0.0132	False
41406	1.4142	1.4142	1.2426	-3.0000	0.1278	0.4142	0.0426	False
41407	0.7071	0.7071	-0.5858	-2.0000	-0.0093	-0.2929	-0.0046	False
41408	1.6180	1.6180	3.0902	-5.0000	0.0996	0.6180	0.0199	False
41409	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
41410	2.0000	2.0000	6.0000	-6.0000	0.3007	1.0000	0.0501	False
41411	1.4516	1.4516	2.2580	-5.0000	0.0744	0.4516	0.0149	False
41412	1.0000	1.0000	0.0000	-5.0000	-0.1636	0.0000	-0.0327	False
41413	1.0000	1.0000	0.0000	-5.0000	-0.0498	-0.0000	-0.0100	False
41414	1.4142	1.4142	0.4142	-1.0000	0.3693	0.4142	0.3693	False
41415	0.7001	0.7001	-0.8997	-3.0000	-0.0665	-0.2999	-0.0222	False
41416	1.4142	1.4142	0.8284	-2.0000	0.4013	0.4142	0.2006	False
41417	1.4142	1.4142	1.2426	-3.0000	0.0296	0.4142	0.0099	False
41418	2.0000	2.0000	6.0000	-6.0000	0.4459	1.0000	0.0743	False
41419	1.4142	1.4142	1.2426	-3.0000	0.2322	0.4142	0.0774	False
41420	1.4264	1.4264	2.1321	-5.0000	0.0580	0.4264	0.0116	False
41421	1.4142	1.4142	2.4853	-6.0000	0.0024	0.4142	0.0004	False
41422	2.0000	2.0000	5.0000	-5.0000	0.5404	1.0000	0.1081	False
41423	0.7071	0.7071	-0.5858	-2.0000	-0.1650	-0.2929	-0.0825	False
41424	1.4142	1.4142	1.6569	-4.0000	0.1830	0.4142	0.0458	False
41425	1.3247	1.3247	0.9742	-3.0000	0.0753	0.3247	0.0251	False
41426	1.0000	1.0000	0.0000	-4.0000	-0.0823	-0.0000	-0.0206	False
41427	1.3712	1.3712	2.2274	-6.0000	0.1078	0.3712	0.0180	False
41428	1.1317	1.1317	0.5269	-4.0000	0.0426	0.1317	0.0107	False
41429	1.3593	1.3593	1.7965	-5.0000	0.0671	0.3593	0.0134	False
41430	1.6180	1.6180	3.7082	-6.0000	0.1713	0.6180	0.0286	False
41431	1.2808	1.2808	2.2462	-8.0000	-0.0190	0.2808	-0.0024	False
41432	1.4142	1.4142	2.0711	-5.0000	0.3573	0.4142	0.0715	False
41433	1.4142	1.4142	2.4853	-6.0000	0.3187	0.4142	0.0531	False
41434	1.4142	1.4142	2.0711	-5.0000	0.4641	0.4142	0.0928	False
41435	1.1787	1.1787	0.7149	-4.0000	0.0000	0.1787	0.0000	False
41436	1.5214	1.5214	3.1283	-6.0000	0.2468	0.5214	0.0411	False
41437	2.0000	2.0000	6.0000	-6.0000	0.1777	1.0000	0.0296	False
41438	1.4142	1.4142	4.1421	-10.0000	0.2370	0.4142	0.0237	False
41439	1.0000	1.0000	0.0000	-8.0000	-0.0000	-0.0000	-0.0000	False
41440	1.4142	1.4142	2.0711	-5.0000	0.0508	0.4142	0.0102	False
41441	1.5214	1.5214	2.0855	-4.0000	0.0693	0.5214	0.0173	False
41442	1.3247	1.3247	1.9483	-6.0000	0.2306	0.3247	0.0384	False
41443	1.2745	1.2745	1.0981	-4.0000	0.0000	0.2745	0.0000	False
41444	1.0000	1.0000	0.0000	-9.0000	-0.0899	-0.0000	-0.0100	False
41445	1.4142	1.4142	2.0711	-5.0000	-0.2234	0.4142	-0.0447	False
41446	1.3660	1.3660	2.1962	-6.0000	0.0657	0.3660	0.0109	False
41447	2.0000	2.0000	4.0000	-4.0000	0.5032	1.0000	0.1258	False
41448	1.5214	1.5214	2.0855	-4.0000	0.3218	0.5214	0.0805	False
41449	1.3463	1.3463	2.7702	-8.0000	-0.1034	0.3463	-0.0129	False
41450	2.0000	2.0000	5.0000	-5.0000	0.2021	1.0000	0.0404	False
41451	0.7549	0.7549	-1.2256	-5.0000	0.0000	-0.2451	0.0000	False
41452	1.4142	1.4142	1.6569	-4.0000	-0.1725	0.4142	-0.0431	False
41453	1.7321	1.7321	4.3923	-6.0000	0.3637	0.7321	0.0606	False
41454	1.0000	1.0000	0.0000	-5.0000	-0.1522	-0.0000	-0.0304	False
41455	1.5122	1.5122	2.5609	-5.0000	0.0567	0.5122	0.0113	False
41456	1.1177	1.1177	0.3531	-3.0000	0.0000	0.1177	0.0000	False
41457	1.3660	1.3660	1.4641	-4.0000	-0.1057	0.3660	-0.0264	False
41458	0.6180	0.6180	-1.1459	-3.0000	0.0000	-0.3820	0.0000	False
