realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
12809	1.4142	1.4142	1.6569	-4.0000	0.2110	0.4142	0.0527	False
12810	2.0000	2.0000	4.0000	-4.0000	0.5170	1.0000	0.1293	False
12811	2.0000	2.0000	5.0000	-5.0000	0.2497	1.0000	0.0499	False
12812	1.4142	1.4142	2.4853	-6.0000	-0.0472	0.4142	-0.0079	False
12813	1.4142	1.4142	3.3137	-8.0000	0.0000	0.4142	0.0000	False
12814	1.6180	1.6180	2.4721	-4.0000	0.2337	0.6180	0.0584	False
12815	1.4142	1.4142	2.8995	-7.0000	-0.0000	0.4142	-0.0000	False
12816	0.7071	0.7071	-0.5858	-2.0000	-0.0280	-0.2929	-0.0140	False
12817	0.8165	0.8165	-1.2845	-7.0000	-0.0000	-0.1835	-0.0000	False
12818	1.0000	1.0000	0.0000	-2.0000	-0.0000	0.0000	-0.0000	False
12819	1.6180	1.6180	3.7082	-6.0000	0.3818	0.6180	0.0636	False
12820	2.0000	2.0000	4.0000	-4.0000	0.7645	1.0000	0.1911	False
12821	0.7071	0.7071	-0.5858	-2.0000	-0.1533	-0.2929	-0.0766	False
12822	2.0000	2.0000	5.0000	-5.0000	0.1413	1.0000	0.0283	False
12823	1.1915	1.1915	1.1489	-6.0000	-0.0392	0.1915	-0.0065	False
12824	1.2247	1.2247	1.3485	-6.0000	0.0000	0.2247	0.0000	False
12825	1.0000	1.0000	0.0000	-2.0000	-0.0147	0.0000	-0.0074	False
12826	1.5811	1.5811	1.7434	-3.0000	0.1921	0.5811	0.0640	False
12827	1.0000	1.0000	0.0000	-5.0000	-0.0379	-0.0000	-0.0076	False
12828	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
12829	1.1275	1.1275	0.6373	-5.0000	-0.0525	0.1275	-0.0105	False
12830	1.4656	1.4656	2.7934	-6.0000	0.0650	0.4656	0.0108	False
12831	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
12832	1.2442	1.2442	0.9766	-4.0000	-0.0000	0.2442	-0.0000	False
12833	1.3660	1.3660	1.8301	-5.0000	-0.1052	0.3660	-0.0210	False
12834	1.4142	1.4142	1.2426	-3.0000	0.2876	0.4142	0.0959	False
12835	2.0000	2.0000	4.0000	-4.0000	0.8863	1.0000	0.2216	False
12836	0.7071	0.7071	-1.1716	-4.0000	-0.0000	-0.2929	-0.0000	False
12837	2.0000	2.0000	4.0000	-4.0000	0.1357	1.0000	0.0339	False
12838	1.5214	1.5214	2.6069	-5.0000	0.1934	0.5214	0.0387	False
12839	1.0000	1.0000	0.0000	-2.0000	0.0000	-0.0000	0.0000	False
12840	1.3744	1.3744	1.8721	-5.0000	-0.0000	0.3744	-0.0000	False
12841	1.4142	1.4142	1.6569	-4.0000	0.2805	0.4142	0.0701	False
12842	1.6180	1.6180	3.0902	-5.0000	0.0014	0.6180	0.0003	False
12843	1.0799	1.0799	0.5593	-7.0000	-0.0000	0.0799	-0.0000	False
12844	1.4142	1.4142	1.2426	-3.0000	0.1487	0.4142	0.0496	False
12845	1.1731	1.1731	0.5192	-3.0000	0.0212	0.1731	0.0071	False
12846	1.0000	1.0000	0.0000	-3.0000	-0.1577	-0.0000	-0.0526	False
12847	1.4142	1.4142	2.4853	-6.0000	-0.1081	0.4142	-0.0180	False
12848	2.0000	2.0000	6.0000	-6.0000	0.6193	1.0000	0.1032	False
12849	2.0000	2.0000	5.0000	-5.0000	0.4799	1.0000	0.0960	False
12850	1.5214	1.5214	3.6497	-7.0000	0.2372	0.5214	0.0339	False
12851	1.4142	1.4142	0.4142	-1.0000	0.3446	0.4142	0.3446	False
12852	2.0000	2.0000	4.0000	-4.0000	0.0411	1.0000	0.0103	False
12853	1.1915	1.1915	1.3404	-7.0000	0.0203	0.1915	0.0029	False
12854	2.0000	2.0000	4.0000	-4.0000	0.4421	1.0000	0.1105	False
12855	2.0000	2.0000	6.0000	-6.0000	0.4157	1.0000	0.0693	False
12856	1.4142	1.4142	2.0711	-5.0000	0.0466	0.4142	0.0093	False
12857	1.2247	1.2247	1.3485	-6.0000	0.0166	0.2247	0.0028	False
12858	1.0000	1.0000	0.0000	-5.0000	-0.0000	-0.0000	-0.0000	False
12859	2.0000	2.0000	6.0000	-6.0000	0.3530	1.0000	0.0588	False
12860	1.3247	1.3247	1.2989	-4.0000	0.0528	0.3247	0.0132	False
12861	1.1915	1.1915	0.7660	-4.0000	0.0531	0.1915	0.0133	False
12862	1.0000	1.0000	0.0000	-3.0000	-0.1409	0.0000	-0.0470	False
12863	1.2207	1.2207	1.1037	-5.0000	-0.0075	0.2207	-0.0015	False
12864	2.0000	2.0000	3.0000	-3.0000	0.7823	1.0000	0.2608	False
12865	1.4826	1.4826	1.9304	-4.0000	0.2113	0.4826	0.0528	False
12866	2.0000	2.0000	6.0000	-6.0000	-0.2041	1.0000	-0.0340	False
12867	1.4142	1.4142	1.6569	-4.0000	-0.0862	0.4142	-0.0215	False
12868	2.0000	2.0000	3.0000	-3.0000	0.2086	1.0000	0.0695	False
12869	1.0659	1.0659	0.2635	-4.0000	-0.0000	0.0659	-0.0000	False
12870	1.4142	1.4142	1.6569	-4.0000	0.2009	0.4142	0.0502	False
12871	1.0000	1.0000	0.0000	-3.0000	-0.2706	0.0000	-0.0902	False
12872	1.8393	1.8393	0.8393	-1.0000	0.5950	0.8393	0.5950	False
12873	1.4142	1.4142	3.7279	-9.0000	-0.0400	0.4142	-0.0044	False
12874	2.0000	2.0000	5.0000	-5.0000	1.0409	1.0000	0.2082	False
12875	1.3247	1.3247	1.2989	-4.0000	-0.0000	0.3247	-0.0000	False
12876	1.4142	1.4142	2.4853	-6.0000	-0.3318	0.4142	-0.0553	False
12877	1.3146	1.3146	1.8876	-6.0000	0.0000	0.3146	0.0000	False
12878	2.0000	2.0000	4.0000	-4.0000	0.3505	1.0000	0.0876	False
12879	1.4142	1.4142	2.4853	-6.0000	-0.0380	0.4142	-0.0063	False
12880	2.0000	2.0000	6.0000	-6.0000	0.4789	1.0000	0.0798	False
12881	1.4142	1.4142	1.6569	-4.0000	-0.0000	0.4142	-0.0000	False
12882	1.7693	1.7693	2.3079	-3.0000	0.1432	0.7693	0.0477	False
12883	0.8484	0.8484	-0.7581	-5.0000	-0.0000	-0.1516	-0.0000	False
12884	1.4142	1.4142	2.0711	-5.0000	0.2840	0.4142	0.0568	False
12885	2.0000	2.0000	6.0000	-6.0000	-0.4016	1.0000	-0.0669	False
12886	0.6180	0.6180	-1.9098	-5.0000	0.0000	-0.3820	0.0000	False
12887	1.4142	1.4142	1.2426	-3.0000	0.0676	0.4142	0.0225	False
12888	2.0000	2.0000	6.0000	-6.0000	0.7072	1.0000	0.1179	False
12889	1.0000	1.0000	0.0000	-2.0000	0.0000	-0.0000	0.0000	False
12890	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
12891	1.1444	1.1444	0.5775	-4.0000	0.0134	0.1444	0.0033	False
12892	1.0000	1.0000	0.0000	-8.0000	-0.0203	-0.0000	-0.0025	False
12893	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
12894	1.4142	1.4142	1.6569	-4.0000	0.1297	0.4142	0.0324	False
12895	1.4142	1.4142	2.0711	-5.0000	0.0135	0.4142	0.0027	False
12896	2.0000	2.0000	6.0000	-6.0000	0.1832	1.0000	0.0305	False
12897	1.6590	1.6590	3.2948	-5.0000	0.2545	0.6590	0.0509	False
12898	1.4713	1.4713	1.8854	-4.0000	0.1362	0.4713	0.0340	False
12899	1.4142	1.4142	2.0711	-5.0000	-0.0028	0.4142	-0.0006	False
12900	1.0000	1.0000	0.0000	-5.0000	-0.0806	0.0000	-0.0161	False
12901	1.6180	1.6180	3.7082	-6.0000	0.3318	0.6180	0.0553	False
12902	1.0000	1.0000	0.0000	-3.0000	-0.0036	-0.0000	-0.0012	False
12903	1.0000	1.0000	0.0000	-7.0000	-0.1313	-0.0000	-0.0188	False
12904	1.0000	1.0000	0.0000	-8.0000	0.0000	0.0000	0.0000	False
12905	1.4026	1.4026	2.0128	-5.0000	0.1566	0.4026	0.0313	False
12906	1.0000	1.0000	0.0000	-6.0000	-0.0000	0.0000	-0.0000	False
12907	2.0000	2.0000	6.0000	-6.0000	0.3884	1.0000	0.0647	False
12908	1.4142	1.4142	2.4853	-6.0000	-0.1072	0.4142	-0.0179	False
12909	2.0000	2.0000	6.0000	-6.0000	0.5248	1.0000	0.0875	False
12910	1.2082	1.2082	1.2490	-6.0000	0.0043	0.2082	0.0007	False
12911	1.0724	1.0724	0.2895	-4.0000	0.0000	0.0724	0.0000	False
12912	1.7321	1.7321	2.9282	-4.0000	0.4432	0.7321	0.1108	False
12913	1.4142	1.4142	2.0711	-5.0000	0.0494	0.4142	0.0099	False
12914	2.0000	2.0000	4.0000	-4.0000	0.6445	1.0000	0.1611	False
12915	1.6180	1.6180	2.4721	-4.0000	0.5804	0.6180	0.1451	False
12916	1.3247	1.3247	1.6236	-5.0000	0.0929	0.3247	0.0186	False
12917	1.6590	1.6590	3.2948	-5.0000	0.3252	0.6590	0.0650	False
12918	2.0000	2.0000	5.0000	-5.0000	0.5931	1.0000	0.1186	False
12919	1.0000	1.0000	0.0000	-6.0000	-0.0000	-0.0000	-0.0000	False
12920	1.4422	1.4422	1.3267	-3.0000	0.1467	0.4422	0.0489	False
12921	1.7693	1.7693	2.3079	-3.0000	0.4219	0.7693	0.1406	False
12922	1.4142	1.4142	2.4853	-6.0000	-0.0471	0.4142	-0.0079	False
12923	1.4142	1.4142	3.3137	-8.0000	0.1375	0.4142	0.0172	False
12924	1.6180	1.6180	3.0902	-5.0000	0.4147	0.6180	0.0829	False
